,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
16,913.506,916.616,916.945,916.714,916.28,915.731,915.11,914.444,913.761,913.087,912.427,911.766,911.086,910.389,909.68,908.974,908.29,907.644,907.056,906.523,906.035,905.574,905.12,904.645,904.125,903.535,902.867,902.134,901.367,900.604,899.864,899.152,898.441,897.675,896.772,895.69,894.424,892.977,891.358,889.668,888.15,886.843,885.662,884.517,883.243,883.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,919.238,919.322,921.004,921.596,921.925,922.095,922.121,922.032,921.832,921.509,921.079,920.553,919.955,919.315,918.668,918.034,917.426,916.847,916.289,915.744,915.201,914.65,914.082,913.49,912.871,912.234,911.588,910.956,910.359,909.814,909.331,908.913,908.55,908.228,907.935,907.656,907.386,907.119,906.856,906.596,906.338,906.081,905.822,905.558,905.286,905.002,904.705,904.395,904.073,903.74,903.398,903.045,902.677,902.29,901.878,901.44,900.971,900.483,899.982,899.483,898.998,898.534,898.092,897.668,897.254,896.836,896.4,895.925,895.383,894.731,893.833,892.155,890.853,,,,,,,,,,,,,,,,,,,,,,,
18,887.73,889.432,890.637,890.992,891.035,890.909,890.676,890.37,890.019,889.649,889.28,888.914,888.533,888.113,887.643,887.135,886.63,886.162,885.761,885.45,885.193,884.941,884.61,884.152,883.551,882.873,882.215,881.654,881.204,880.844,880.545,880.281,880.044,879.829,879.612,879.354,879.005,878.495,877.79,876.919,875.887,874.095,873.181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,336.037,338.357,338.791,338.542,338.142,337.695,337.217,336.713,336.18,335.622,335.044,334.453,333.858,333.263,332.672,332.086,331.501,330.911,330.309,329.686,329.024,328.311,327.522,326.675,325.81,324.978,324.197,323.47,322.735,321.92,320.979,319.959,318.894,317.787,316.656,315.306,313.164,312.141,311.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,308.007,308.345,308.784,309.233,309.787,310.765,312.899,314.557,314.866,314.336,313.472,312.539,311.652,310.804,309.947,309.08,308.237,307.454,306.747,306.122,305.556,305.009,304.437,303.813,303.128,302.41,301.698,301.031,300.424,299.873,299.362,298.866,298.361,297.831,297.263,296.649,295.998,295.313,294.585,293.802,292.929,291.882,290.486,286.397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1885.41,1886.35,1887.07,1887.83,1888.65,1889.49,1890.33,1891.18,1892.08,1893.05,1894.12,1895.24,1896.47,1897.82,1899.29,1900.82,1902.37,1903.86,1905.22,1906.41,1907.44,1908.36,1909.22,1910.07,1910.89,1911.66,1912.35,1912.96,1913.49,1913.92,1914.28,1914.6,1914.93,1915.25,1912.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1557.11,1558.83,1559.76,1560.46,1561.13,1561.92,1562.86,1563.59,1563.96,1564.08,1564.06,1563.99,1563.98,1564.15,1564.57,1564.95,1564.36,1563.2,1562.41,1562.04,1561.94,1561.93,1561.96,1561.96,1561.97,1561.92,1561.83,1561.56,1560.98,1559.68,1558.44,1558.05,1557.87,1557.71,1557.4,1553.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2187.57,2190.03,2191,2191.54,2191.88,2192.14,2192.35,2192.53,2192.71,2192.9,2193.13,2193.41,2193.76,2194.18,2194.65,2195.11,2195.49,2195.75,2195.9,2195.96,2195.96,2195.95,2195.94,2195.94,2195.97,2196.05,2196.2,2196.44,2196.76,2197.14,2197.52,2197.85,2198.13,2198.35,2198.51,2198.62,2198.68,2198.72,2198.74,2198.79,2198.89,2199.06,2199.34,2199.73,2200.18,2200.64,2200.95,2200.83,2200.15,2199.16,2198.14,2197.16,2196.05,2193.8,2192.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,527.972,529.686,531.005,531.895,532.746,533.84,535.033,535.771,536.03,536.052,536.017,535.987,535.985,536.008,536.042,536.06,536.028,535.919,535.728,535.483,535.237,535.042,534.929,534.908,534.949,535.014,535.052,534.998,534.771,534.334,533.685,532.861,531.862,530.619,529.138,527.619,526.233,524.963,523.697,522.201,519.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,523.829,527.546,529.263,530.399,531.391,532.304,533.119,533.844,534.472,535.073,535.679,536.282,536.837,537.289,537.628,537.896,538.157,538.468,538.868,539.36,539.888,540.362,540.732,540.991,541.177,541.34,541.518,541.749,542.077,542.516,543.024,543.506,543.828,543.926,543.716,543.088,542.047,540.919,539.93,538.95,537.68,535.182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
