,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
28,1303.19,1306.07,1307.72,1309.02,1310.1,1311.06,1311.94,1312.76,1313.54,1314.27,1314.97,1315.67,1316.41,1317.2,1318.05,1318.96,1319.89,1320.81,1321.7,1322.51,1323.25,1323.96,1324.68,1325.43,1326.23,1327.06,1327.92,1328.78,1329.6,1330.36,1331.08,1331.76,1332.44,1333.14,1333.86,1334.59,1335.32,1336.06,1336.79,1337.52,1338.24,1338.98,1339.73,1340.49,1341.25,1341.96,1342.62,1343.18,1343.61,1343.86,1343.76,1341.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1307.84,1308.86,1309.89,1310.88,1311.83,1312.73,1313.55,1314.29,1314.99,1315.71,1316.47,1317.26,1318.09,1318.92,1319.76,1320.59,1321.44,1322.31,1323.21,1324.17,1325.18,1326.25,1327.34,1328.45,1329.54,1330.59,1331.6,1332.56,1333.44,1334.23,1334.93,1335.53,1336.01,1336.4,1336.69,1336.89,1337.05,1337.2,1337.42,1337.76,1338.27,1338.98,1339.9,1341.01,1342.34,1343.99,1346.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1311.63,1313.59,1315.1,1316.33,1317.43,1318.47,1319.45,1320.4,1321.3,1322.16,1322.99,1323.79,1324.6,1325.42,1326.28,1327.19,1328.13,1329.12,1330.14,1331.19,1332.25,1333.32,1334.4,1335.48,1336.54,1337.59,1338.62,1339.61,1340.58,1341.54,1342.49,1343.43,1344.37,1345.3,1346.24,1347.17,1348.12,1349.11,1350.16,1351.31,1352.59,1353.94,1355.23,1356.28,1356.91,1356.84,1356.05,1355.1,1354.41,1353.9,1353.44,1352.88,1351.45,1351.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1353.24,1354,1355.05,1356.07,1357.09,1358.09,1359.04,1359.95,1360.84,1361.74,1362.65,1363.57,1364.5,1365.44,1366.38,1367.32,1368.28,1369.23,1370.19,1371.14,1372.08,1373.01,1373.95,1374.91,1375.9,1376.94,1378.03,1379.16,1380.3,1381.42,1382.52,1383.56,1384.56,1385.49,1386.4,1387.3,1388.23,1389.18,1390.14,1391.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1359.53,1359.97,1364,1365.03,1366,1366.93,1367.82,1368.68,1369.52,1370.35,1371.17,1372.01,1372.86,1373.72,1374.6,1375.49,1376.39,1377.28,1378.16,1379.03,1379.87,1380.7,1381.52,1382.34,1383.14,1383.95,1384.77,1385.58,1386.41,1387.24,1388.06,1388.88,1389.69,1390.48,1391.25,1391.99,1392.73,1393.46,1394.19,1394.95,1395.72,1396.49,1397.23,1397.91,1398.52,1399.03,1399.41,1399.66,1399.69,1399.36,1398.08,1396.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1388.22,1388.62,1389.56,1390.53,1391.51,1392.54,1393.61,1394.74,1395.93,1397.17,1398.42,1399.68,1400.9,1402.09,1403.23,1404.33,1405.39,1406.41,1407.41,1408.4,1409.38,1410.35,1411.33,1412.31,1413.3,1414.29,1415.29,1416.28,1417.27,1418.26,1419.24,1420.21,1421.17,1422.12,1423.05,1423.98,1424.9,1425.81,1426.71,1427.62,1428.52,1429.44,1430.37,1431.31,1432.27,1433.24,1434.22,1435.21,1436.21,1437.2,1438.2,1439.19,1440.18,1441.16,1442.14,1443.11,1444.09,1445.06,1446.03,1447,1447.98,1448.95,1449.93,1450.91,1451.89,1452.87,1453.83,1454.79,1455.73,1456.64,1457.52,1458.36,1459.16,1459.91,1460.63,1461.31,1461.97,1462.64,1463.34,1464.09,1464.92,1465.85,1466.9,1468.07,1469.57,,,,,,,,,,,
34,1603.91,1604.77,1605.7,1606.63,1607.68,1608.86,1610.02,1611.11,1612.16,1613.19,1614.21,1615.22,1616.26,1617.3,1618.33,1619.33,1620.33,1621.33,1622.35,1623.39,1624.41,1625.39,1626.31,1627.17,1628,1628.79,1629.51,1630.14,1630.67,1631.09,1631.42,1631.69,1631.96,1632.31,1632.83,1633.62,1634.6,1635.64,1636.68,1637.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1642.03,1645.14,1646.53,1647.73,1648.7,1649.47,1650.04,1650.43,1650.64,1650.76,1650.87,1651.05,1651.33,1651.72,1652.22,1652.82,1653.5,1654.23,1655,1655.79,1656.6,1657.4,1658.17,1658.89,1659.55,1660.18,1660.81,1661.46,1662.16,1662.88,1663.57,1664.2,1664.72,1665.07,1665.12,1662.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1661.4,1659.12,1659.51,1660.11,1660.9,1661.72,1662.47,1663.14,1663.83,1664.61,1665.49,1666.43,1667.35,1668.21,1669.02,1669.82,1670.65,1671.52,1672.39,1673.26,1674.14,1675.08,1676.31,1679.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1693.07,1695.87,1697.35,1698.06,1698.46,1698.73,1698.98,1699.22,1699.48,1699.79,1700.14,1700.54,1701.01,1701.53,1702.1,1702.69,1703.29,1703.92,1704.6,1705.33,1706.13,1706.97,1707.8,1708.61,1709.4,1710.2,1711.02,1711.88,1712.76,1713.61,1714.44,1715.24,1715.98,1716.58,1716.84,1716.53,1715.75,1715.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
